Date/Time,1FLOOR:ZONE7:Zone Lights Electric Energy [J](Monthly),1FLOOR:ZONE7:Zone Electric Equipment Electric Energy [J](Monthly),1FLOOR:ZONE7:Zone Air System Sensible Heating Energy [J](Monthly),1FLOOR:ZONE7:Zone Air System Sensible Cooling Energy [J](Monthly) 
January,571682383.200003,414094040.995386,9021783603.59443,0.0 
February,513955497.600003,372481716.032623,7101487144.1249,0.0 
March,553060807.200003,402169053.280515,5543559829.18997,0.0 
April,577268856.000003,416123249.627626,2688091041.81717,0.0 
May,553060807.200003,402169053.280515,965965998.657225,163124.317712111 
June,540025704.000003,392273274.197885,78225771.8394365,86118551.819812 
July,590303959.200004,426019028.710256,4476545.12847098,375533623.553109 
August,553060807.200003,402169053.280515,8877.19678569862,513676434.120051 
September,558647280.000003,404198261.912755,149895415.367235,129167342.284173 
October,571682383.200003,414094040.995386,1562592614.73495,0.0 
November,540025704.000003,392273274.197884,4495243755.41094,0.0 
December,590303959.200004,426019028.710256,7824178189.18893,0.0 
